userid,softwaredevelopment,frontenddev,backenddev,fullstack,mobiledevelopment,webapplicationdevelopment,degreeid
288,sd0,fe0,be0,fs0,md0,wd1,DID01
289,sd0,fe0,be0,fs0,md0,wd1,DID01
290,sd1,fe0,be0,fs0,md0,wd1,DID01
291,sd0,fe0,be0,fs0,md0,wd0,DID01
292,sd1,fe0,be0,fs0,md0,wd0,DID01
293,sd1,fe0,be0,fs0,md0,wd0,DID01
294,sd0,fe0,be0,fs0,md0,wd0,DID02
295,sd0,fe0,be0,fs0,md0,wd0,DID01
296,sd1,fe0,be0,fs0,md0,wd0,DID02
297,sd0,fe0,be0,fs0,md0,wd0,DID02
298,sd1,fe0,be0,fs0,md0,wd0,DID01
299,sd0,fe0,be0,fs0,md0,wd0,DID01
300,sd1,fe0,be0,fs0,md0,wd0,DID02
301,sd0,fe0,be0,fs0,md0,wd0,DID01
302,sd0,fe0,be0,fs0,md0,wd0,DID02
303,sd0,fe0,be0,fs0,md0,wd0,DID02
304,sd1,fe0,be0,fs0,md0,wd0,DID02
305,sd1,fe0,be0,fs0,md0,wd0,DID01
306,sd0,fe0,be0,fs0,md0,wd0,DID01
307,sd1,fe0,be0,fs0,md0,wd0,DID01
308,sd1,fe0,be0,fs0,md0,wd0,DID02
309,sd0,fe0,be0,fs0,md0,wd0,DID01
310,sd1,fe0,be0,fs0,md0,wd1,DID02
311,sd1,fe0,be0,fs0,md0,wd1,DID01
312,sd0,fe0,be0,fs0,md0,wd1,DID01
313,sd1,fe0,be0,fs0,md0,wd0,DID01
314,sd0,fe0,be0,fs0,md0,wd0,DID02
315,sd1,fe0,be0,fs0,md0,wd0,DID02
316,sd1,fe0,be0,fs0,md0,wd1,DID02
317,sd0,fe0,be0,fs0,md0,wd1,DID02
318,sd1,fe0,be0,fs0,md0,wd1,DID02
319,sd1,fe0,be0,fs0,md0,wd0,DID01
320,sd0,fe0,be0,fs0,md0,wd1,DID01
321,sd1,fe0,be0,fs0,md0,wd1,DID01
322,sd1,fe0,be0,fs0,md0,wd1,DID01
323,sd1,fe0,be0,fs0,md0,wd0,DID01
324,sd0,fe0,be0,fs0,md0,wd0,DID01
325,sd1,fe0,be0,fs0,md0,wd0,DID01
326,sd0,fe0,be0,fs0,md0,wd1,DID01
327,sd1,fe0,be0,fs0,md0,wd1,DID01
328,sd1,fe0,be0,fs0,md0,wd1,DID02
329,sd0,fe0,be0,fs0,md0,wd0,DID01
330,sd1,fe0,be0,fs0,md0,wd1,DID02
331,sd0,fe0,be0,fs0,md0,wd1,DID02
332,sd0,fe0,be0,fs0,md0,wd1,DID02
333,sd1,fe0,be0,fs0,md0,wd0,DID02
334,sd0,fe0,be0,fs0,md0,wd0,DID02
335,sd0,fe0,be0,fs0,md0,wd0,DID02
336,sd0,fe0,be0,fs0,md0,wd1,DID02
337,sd1,fe0,be0,fs0,md0,wd1,DID02
338,sd1,fe0,be0,fs0,md0,wd1,DID02
339,sd0,fe0,be0,fs1,md0,wd1,DID02
340,sd1,fe0,be0,fs1,md0,wd1,DID02
341,sd0,fe0,be0,fs1,md0,wd1,DID02
342,sd0,fe0,be0,fs0,md1,wd1,DID02
343,sd1,fe0,be0,fs0,md1,wd1,DID02
344,sd1,fe0,be0,fs0,md0,wd0,DID02
345,sd0,fe0,be0,fs0,md1,wd1,DID02
346,sd1,fe0,be0,fs0,md0,wd0,DID02
